item_id      , campaign_id, ad_group_id, price  , price_usd, title                                                                              , status, has_discount, catalog_listing, logistic_type, listing_type_id, domain_id                   , date_created        , buy_box_winner, tags_0, channel    , official_store_id, advertiser_id, original_advertiser_id, brand_value_id, brand_value_name, condition, current_level, deferred_stock, thumbnail                                                     , permalink                                                                                                                                 , recommended, image_quality         , status_raw, family_id       , family_name                                                       , user_product_id, user_product_name                                                     , _key         , _key_type
MLB5454185710,   353235970,  1286378716,  112.35,       0.0, Refil De Esferas Minerais Para Ducha Pure Shower Select Dourado-escuro             , active, False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-24T13:41:44Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_837283-MLB92330519945_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-5454185710-refil-de-esferas-minerais-para-ducha-pure-shower-select-dourado-escuro-_JM             , False      , good_quality_thumbnail, A         , 8827693915267807, Refil De Esferas Minerais Para Ducha Pure Shower Select           , MLBU3252250443 , Refil De Esferas Minerais Para Ducha Pure Shower Select Dourado-escuro, MLB5454185710, item_id
MLB5452747824,   353235970,   969895689,  139.0 ,       0.0, Ducha Intima Com Filtro Universal Pure Shower                                      , hold  , False       , False          , fulfillment  , gold_pro       , MLB-HYGIENIC_SHOWERS        , 2025-06-23T20:04:12Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , unknown      , False         , http://http2.mlstatic.com/D_672332-MLA79938296741_102024-I.jpg, https://produto.mercadolivre.com.br/MLB-5452747824-ducha-intima-com-filtro-universal-pure-shower-_JM                                      , False      , good_quality_thumbnail, Y         , 6668048740532061, Ducha Intima Com Filtro Universal Pure Shower                     , MLBU3251103009 , Ducha Intima Com Filtro Universal Pure Shower                         , MLB5452747824, item_id
MLB5452721504,   353235970,  1290108835,  731.85,       0.0, Ducha Chuveiro De Parede Pure Shower Classic Com Filtro Prateado                   , hold  , False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-23T19:56:01Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_822708-MLB92036220162_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-5452721504-ducha-chuveiro-de-parede-pure-shower-classic-com-filtro-prateado-_JM                   , False      , good_quality_thumbnail, Y         , 6353107659925852, Ducha Chuveiro De Parede Pure Shower Classic Com Filtro           , MLBU3251080949 , Ducha Chuveiro De Parede Pure Shower Classic Com Filtro Prateado      , MLB5452721504, item_id
MLB5452702020,   353235970,   969895691,  784.35,       0.0, Chuveiro De Parede Ducha Pure Shower Select                                        , active, False       , True           , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-23T18:53:25Z, True          , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_750671-MLA95248138935_102025-I.jpg, https://produto.mercadolivre.com.br/MLB-5452702020-chuveiro-de-parede-ducha-pure-shower-select-_JM                                        , True       , unknown               , A         , 2660449460517254, Chuveiro De Parede Ducha Pure Shower Select                       , MLBU3256615752 , Chuveiro De Parede Ducha Pure Shower Select                           , MLB5452702020, item_id
MLB5452699160,   353235970,   993561164,  499.0 ,       0.0, Garrafa Água Ionizante Pure Health Hidrogênio Molecular Transparente               , hold  , False       , False          , fulfillment  , gold_pro       , MLB-SPORT_AND_BAZAAR_BOTTLES, 2025-06-23T18:26:05Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_728614-MLB92898205869_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-5452699160-garrafa-agua-ionizante-pure-health-hidrognio-molecular-transparente-_JM                , False      , good_quality_thumbnail, Y         , 1349403887703450, Garrafa Água Ionizante Pure Health Hidrogênio Molecular           , MLBU3250812205 , Garrafa Água Ionizante Pure Health Hidrogênio Molecular Transparente  , MLB5452699160, item_id
MLB5452496492,   353235970,  1290552149, 1459.5 ,       0.0, Kit Premium Chuveiro Select Chrome Com Ducha Auxiliar Prateado Cromado             , active, False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-23T15:07:13Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_860604-MLB92485654426_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-5452496492-kit-premium-chuveiro-select-chrome-com-ducha-auxiliar-prateado-cromado-_JM             , False      , good_quality_thumbnail, A         , 1151236185032198, Kit Premium Chuveiro Select Chrome Com Ducha Auxiliar             , MLBU3256168724 , Kit Premium Chuveiro Select Chrome Com Ducha Auxiliar Prateado Cromado, MLB5452496492, item_id
MLB5428350132,   353235970,   969895692,  297.0 ,       0.0, Ducha New Pure Shower                                                              , active, False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-11T13:14:05Z, False         , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_820638-MLB88804756912_082025-I.jpg, https://produto.mercadolivre.com.br/MLB-5428350132-ducha-new-pure-shower-_JM                                                              , True       , good_quality_thumbnail, A         ,                 ,                                                                   ,                ,                                                                       , MLB5428350132, item_id
MLB5427982758,   353235970,   969895678,  197.0 ,       0.0, Ducha Pure Shower Standard Cromado Polido                                          , hold  , False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-11T13:02:18Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_829870-MLB92494589206_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-5427982758-ducha-pure-shower-standard-cromado-polido-_JM                                          , False      , good_quality_thumbnail, Y         , 5192972587356949, Ducha Pure Shower Standard                                        , MLBU3229367315 , Ducha Pure Shower Standard Cromado Polido                             , MLB5427982758, item_id
MLB4208292445,   353235970,   969895673,  101.85,       0.0, Duchas Pure Shower Esferas Minerais Refil De Esferas Minerais Cor Dourado-escuro   , active, False       , True           , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-09-16T18:51:07Z, True          ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_841276-MLA91233964261_082025-I.jpg, https://produto.mercadolivre.com.br/MLB-4208292445-duchas-pure-shower-esferas-minerais-refil-de-esferas-minerais-cor-dourado-escuro-_JM   , False      , unknown               , A         , 5982965380534795, Refil De Esferas Minerais Para Ducha New Pure Shower              , MLBU3358730029 , Refil De Esferas Minerais Para Ducha New Pure Shower Dourado-escuro   , MLB4208292445, item_id
MLB4152670351,   353235970,  1122817356,  297.0 ,       0.0, Ducha New Pure Shower Lavatório Profissional De Salão Dourado                      , hold  , False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-08-07T17:27:57Z, False         , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_706540-MLB89664503437_082025-I.jpg, https://produto.mercadolivre.com.br/MLB-4152670351-ducha-new-pure-shower-lavatorio-profissional-de-salo-dourado-_JM                       , True       , good_quality_thumbnail, S         , 1786636339424286, Ducha New Pure Shower Lavatório Profissional De Salão             , MLBU3351059054 , Ducha New Pure Shower Lavatório Profissional De Salão Dourado         , MLB4152670351, item_id
MLB4152589777,   353235970,   994512243,  353.85,       0.0, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Prateado                 , hold  , False       , True           , xd_drop_off  , gold_pro       , MLB-SHOWER_HEADS            , 2025-08-07T17:05:51Z, True          , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , newbie       , False         , http://http2.mlstatic.com/D_674003-MLA87800236672_072025-I.jpg, https://produto.mercadolivre.com.br/MLB-4152589777-pure-filter-filtro-4-estagios-com-esferas-pure-shower-cor-prateado-_JM                 , True       , unknown               , S         , 4252709192511586, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Prateado, MLBU3351010092 , Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Prateado    , MLB4152589777, item_id
MLB4152526873,   353235970,   994512243,  297.0 ,       0.0, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Preto                    , hold  , False       , True           , drop_off     , gold_pro       , MLB-SHOWER_HEADS            , 2025-08-07T17:08:55Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , unknown      , False         , http://http2.mlstatic.com/D_813817-MLA87479733220_072025-I.jpg, https://produto.mercadolivre.com.br/MLB-4152526873-pure-filter-filtro-4-estagios-com-esferas-pure-shower-cor-preto-_JM                    , False      , unknown               , S         , 4238683782387271, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Preto   , MLBU3345005891 , Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Preto       , MLB4152526873, item_id
MLB4152354993,   353235970,  1122528293,  353.85,       0.0, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower                              , active, False       , True           , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-08-07T15:32:05Z, True          , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_728093-MLA95359251501_102025-I.jpg, https://produto.mercadolivre.com.br/MLB-4152354993-pure-filter-filtro-4-estagios-com-esferas-pure-shower-_JM                              , True       , unknown               , A         , 1249939045047150, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower             , MLBU3350787014 , Pure Filter Filtro 4 Estágios Com Esferas Pure Shower                 , MLB4152354993, item_id
MLB4146565283,   353235970,  1101253892, 1354.5 ,       0.0, Ducha Chuveiro Parade Kit Premium Pure Shower C/ Ducha Aux Cor Prateado            , active, False       , True           , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-08-04T02:45:57Z, True          , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_665068-MLA95379771665_102025-I.jpg, https://produto.mercadolivre.com.br/MLB-4146565283-ducha-chuveiro-parade-kit-premium-pure-shower-c-ducha-aux-cor-prateado-_JM             , True       , unknown               , A         ,  967483569980375, Ducha Chuveiro Parade Kit Premium Pure Shower C/ Ducha Aux        , MLBU3290932853 , Ducha Chuveiro Parade Kit Premium Pure Shower C/ Ducha Aux Prateado   , MLB4146565283, item_id
MLB4133236027,   353235970,   969895685,  697.0 ,       0.0, Chuveiro Elétrico Pure Shower Anti-cloro Com Filtro Branco 5.5 Kw                  , hold  , False       , False          , xd_drop_off  , gold_pro       , MLB-ELECTRIC_SHOWER_HEADS   , 2025-07-22T20:06:36Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , yellow       , False         , http://http2.mlstatic.com/D_636985-MLB86611830991_062025-I.jpg, https://produto.mercadolivre.com.br/MLB-4133236027-chuveiro-eletrico-pure-shower-anti-cloro-com-filtro-branco-55-kw-_JM                   , False      , good_quality_thumbnail, Y         , 4517925741704747, Chuveiro Elétrico Pure Shower Anti-cloro Com Filtro               , MLBU3313518897 , Chuveiro Elétrico Pure Shower Anti-cloro Com Filtro Branco 5.5 Kw     , MLB4133236027, item_id
MLB4132118337,   353235970,   969895691,  784.35,       0.0, Chuveiro De Parede Ducha Pure Shower Select Cromado                                , hold  , False       , False          , xd_drop_off  , gold_pro       , MLB-SHOWER_HEADS            , 2025-07-21T18:41:41Z, False         , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_903770-MLB92702707945_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-4132118337-chuveiro-de-parede-ducha-pure-shower-select-cromado-_JM                                , True       , good_quality_thumbnail, Y         , 2660449460517254, Chuveiro De Parede Ducha Pure Shower Select                       , MLBU3310398977 , Chuveiro De Parede Ducha Pure Shower Select Cromado                   , MLB4132118337, item_id
MLB4132008163,   353235970,   969895691,  697.0 ,       0.0, Chuveiro De Parede Ducha Pure Shower Select                                        , hold  , False       , True           , xd_drop_off  , gold_pro       , MLB-SHOWER_HEADS            , 2025-07-21T18:41:42Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_687681-MLA73225068832_122023-I.jpg, https://produto.mercadolivre.com.br/MLB-4132008163-chuveiro-de-parede-ducha-pure-shower-select-_JM                                        , False      , unknown               , S         , 2660449460517254, Chuveiro De Parede Ducha Pure Shower Select                       , MLBU3310398977 , Chuveiro De Parede Ducha Pure Shower Select Cromado                   , MLB4132008163, item_id
MLB4129000115,   353235970,  1003224919,  731.85,       0.0, Ducha Chuveiro De Parede Pure Shower Classic Com Filtro Cor Prateado               , hold  , False       , True           , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-07-18T01:34:41Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_634700-MLA88129245799_072025-I.jpg, https://produto.mercadolivre.com.br/MLB-4129000115-ducha-chuveiro-de-parede-pure-shower-classic-com-filtro-cor-prateado-_JM               , False      , unknown               , S         , 6353107659925852, Ducha Chuveiro De Parede Pure Shower Classic Com Filtro           , MLBU3251080949 , Ducha Chuveiro De Parede Pure Shower Classic Com Filtro Prateado      , MLB4129000115, item_id
MLB4125213035,   353235970,  1289239412, 1354.5 ,       0.0, Ducha Chuveiro Parade Kit Premium Pure Shower C/ Ducha Aux Prateado                , hold  , False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-07-14T17:30:49Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_918600-MLB92854389753_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-4125213035-ducha-chuveiro-parade-kit-premium-pure-shower-c-ducha-aux-prateado-_JM                 , False      , good_quality_thumbnail, Y         ,  967483569980375, Ducha Chuveiro Parade Kit Premium Pure Shower C/ Ducha Aux        , MLBU3290932853 , Ducha Chuveiro Parade Kit Premium Pure Shower C/ Ducha Aux Prateado   , MLB4125213035, item_id
MLB4124114955,   353235970,   994512243,  353.85,       0.0, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Preto                    , active, False       , True           , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-07-13T04:32:01Z, True          ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_813817-MLA87479733220_072025-I.jpg, https://produto.mercadolivre.com.br/MLB-4124114955-pure-filter-filtro-4-estagios-com-esferas-pure-shower-cor-preto-_JM                    , False      , unknown               , A         , 7189117073220291,                                                                   , MLBU3229725177 , Pure Filter Filtro 4 Estágios Com Esferas Pure Shower                 , MLB4124114955, item_id
MLB4104369667,   353235970,   969895673,   80.85,       0.0, Refil De Esferas Minerais Para Ducha Pure Shower Cinza                             , hold  , False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-24T17:55:59Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_906617-MLB92295565484_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-4104369667-refil-de-esferas-minerais-para-ducha-pure-shower-cinza-_JM                             , False      , good_quality_thumbnail, Y         , 1094755526497315, Refil De Esferas Minerais Para Ducha Pure Shower                  , MLBU3252717801 , Refil De Esferas Minerais Para Ducha Pure Shower Cinza                , MLB4104369667, item_id
MLB4103292495,   353235970,  1121891193,  889.35,       0.0, Ducha Chuveiro De Parade Pure Shower Select Chrome Prateado Escovado               , hold  , False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-23T17:23:17Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_790565-MLB92299734058_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-4103292495-ducha-chuveiro-de-parade-pure-shower-select-chrome-prateado-escovado-_JM               , False      , good_quality_thumbnail, Y         , 5520657156675989, Ducha Chuveiro De Parade Pure Shower Select Chrome                , MLBU3256409718 , Ducha Chuveiro De Parade Pure Shower Select Chrome Prateado Escovado  , MLB4103292495, item_id
MLB4103243669,   353235970,   991473819,  697.0 ,       0.0, Chuveiro Elétrico Pure Shower Anti-cloro Com Filtro 220v                           , hold  , False       , False          , fulfillment  , gold_pro       , MLB-ELECTRIC_SHOWER_HEADS   , 2025-06-23T17:51:02Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_812172-MLB86611832425_062025-I.jpg, https://produto.mercadolivre.com.br/MLB-4103243669-chuveiro-eletrico-pure-shower-anti-cloro-com-filtro-220v-_JM                           , False      , good_quality_thumbnail, Y         ,                 ,                                                                   ,                ,                                                                       , MLB4103243669, item_id
MLB4103214871,   353235970,   969895678,  197.0 ,       0.0, Ducha Pure Shower Standard Acabamento Polido Cor Cromado                           , hold  , False       , True           , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-23T17:15:25Z, False         , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_707380-MLA95354813227_102025-I.jpg, https://produto.mercadolivre.com.br/MLB-4103214871-ducha-pure-shower-standard-acabamento-polido-cor-cromado-_JM                           , True       , unknown               , S         , 5192972587356949, Ducha Pure Shower Standard                                        , MLBU3229367315 , Ducha Pure Shower Standard Cromado Polido                             , MLB4103214871, item_id
MLB4103162595,   353235970,  1291919899,  889.35,       0.0, Chuveiro De Parade Ducha Pure Shower Select Black Preto Fosco                      , hold  , False       , False          , xd_drop_off  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-23T17:11:51Z, False         , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_786989-MLB92494271470_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-4103162595-chuveiro-de-parade-ducha-pure-shower-select-black-preto-fosco-_JM                      , True       , good_quality_thumbnail, S         , 6469400441668090, Chuveiro De Parade Ducha Pure Shower Select Black                 , MLBU3250653503 , Chuveiro De Parade Ducha Pure Shower Select Black Preto Fosco         , MLB4103162595, item_id
MLB4103151607,   353235970,   971828862,  784.35,       0.0, Chuveiro Da Beleza De Parede Ducha Pure Shower Prateado                            , hold  , False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-23T17:35:22Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_697598-MLB92465892904_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-4103151607-chuveiro-da-beleza-de-parede-ducha-pure-shower-prateado-_JM                            , False      , good_quality_thumbnail, Y         , 1535736371293385, Chuveiro Da Beleza De Parede Ducha Pure Shower                    , MLBU3256443054 , Chuveiro Da Beleza De Parede Ducha Pure Shower Prateado               , MLB4103151607, item_id
MLB4092643011,   353235970,   994512243,  353.85,       0.0, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower                              , hold  , False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-11T14:22:28Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_826777-MLB85662107882_062025-I.jpg, https://produto.mercadolivre.com.br/MLB-4092643011-pure-filter-filtro-4-estagios-com-esferas-pure-shower-_JM                              , False      , good_quality_thumbnail, Y         ,                 ,                                                                   ,                ,                                                                       , MLB4092643011, item_id
MLB4092560343,   353235970,  1001891263,  277.0 ,       0.0, Ducha Salão Pure Shower Pro Com Mangueira E Acabamento Prateado                    , hold  , False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-11T13:27:10Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_847720-MLB92295260200_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-4092560343-ducha-salo-pure-shower-pro-com-mangueira-e-acabamento-prateado-_JM                     , False      , good_quality_thumbnail, Y         , 4839544482110470, Ducha Salão Pure Shower Pro Com Mangueira E Acabamento            , MLBU3235205990 , Ducha Salão Pure Shower Pro Com Mangueira E Acabamento Prateado       , MLB4092560343, item_id
MLB4092510357,   353235970,  1002973403,   29.9 ,       0.0, Presilha Grampos Clips De Cabelo Pure Color Grips Preto                            , hold  , False       , False          , fulfillment  , gold_pro       , MLB-HAIRDRESSING_CLIPS      , 2025-06-11T13:47:09Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_874915-MLB92199364754_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-4092510357-presilha-grampos-clips-de-cabelo-pure-color-grips-preto-_JM                            , False      , good_quality_thumbnail, Y         , 8677726870474575, Presilha Grampos Clips De Cabelo Pure Color Grips                 , MLBU3229630571 , Presilha Grampos Clips De Cabelo Pure Color Grips Preto               , MLB4092510357, item_id
MLB4092488745,   353235970,  1063426242,   59.0 ,       0.0, Suporte De Lavatório Cumbuca Tigela Pincel Rosa Pure Shower                        , active, False       , False          , xd_drop_off  , gold_pro       , MLB-HAIRDRESSING_ACCESSORIES, 2025-06-11T14:34:44Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_934384-MLB89669740824_082025-I.jpg, https://produto.mercadolivre.com.br/MLB-4092488745-suporte-de-lavatorio-cumbuca-tigela-pincel-rosa-pure-shower-_JM                        , False      , poor_quality_thumbnail, A         , 7177435999953558, Suporte De Lavatório Cumbuca Tigela Pincel Rosa Pure Shower       , MLBU3235507072 , Suporte De Lavatório Cumbuca Tigela Pincel Rosa Pure Shower           , MLB4092488745, item_id
