item_id,title,category_id,domain_id,official_store_id,catalog_listing,seller_id,permalink,campaign_id,ad_group_id,price,price_usd,status,has_discount,logistic_type,listing_type_id,date_created,buy_box_winner,channel,advertiser_id,brand_value_id,brand_value_name,condition,current_level,deferred_stock,thumbnail,recommended,image_quality,family_id,family_name,user_product_id,user_product_name,raw_json,tags
MLB4124114955,Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Preto,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-4124114955-pure-filter-filtro-4-estagios-com-esferas-pure-shower-cor-preto-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4125213035,Ducha Chuveiro Parade Kit Premium Pure Shower C/ Ducha Aux Prateado,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4125213035-ducha-chuveiro-parade-kit-premium-pure-shower-c-ducha-aux-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5465133508,Ducha Pure Shower Pet Kit Completo Mangueira E Suporte Prateado,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5465133508-ducha-pure-shower-pet-kit-completo-mangueira-e-suporte-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5551881482,Ducha New Pure Shower Lavatório Profissional De Salão Cromado,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5551881482-ducha-new-pure-shower-lavatorio-profissional-de-salo-cromado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5505620560,Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Prateado,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5505620560-pure-filter-filtro-4-estagios-com-esferas-pure-shower-cor-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4152670351,Ducha New Pure Shower Lavatório Profissional De Salão Dourado,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4152670351-ducha-new-pure-shower-lavatorio-profissional-de-salo-dourado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5731463166,Chuveiro De Parade Ducha Pure Shower Select Black Acabamento Fosco Cor Preto,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5731463166-chuveiro-de-parade-ducha-pure-shower-select-black-acabamento-fosco-cor-preto-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5664469892,Refil De Esferas Minerais Para Ducha Pure Shower,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5664469892-refil-de-esferas-minerais-para-ducha-pure-shower-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4103243669,Chuveiro Elétrico Pure Shower Anti-cloro Com Filtro 220v,MLB269874,MLB-ELECTRIC_SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4103243669-chuveiro-eletrico-pure-shower-anti-cloro-com-filtro-220v-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5454220386,Kit Desmetalizador Home Care Metal Remov Color Improv 250ml,MLB32130,MLB-HAIR_TREATMENTS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5454220386-kit-desmetalizador-home-care-metal-remov-color-improv-250ml-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4129000115,Ducha Chuveiro De Parede Pure Shower Classic Com Filtro Cor Prateado,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-4129000115-ducha-chuveiro-de-parede-pure-shower-classic-com-filtro-cor-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4092488745,Suporte De Lavatório Cumbuca Tigela Pincel Rosa Pure Shower,MLB264752,MLB-HAIRDRESSING_ACCESSORIES,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4092488745-suporte-de-lavatorio-cumbuca-tigela-pincel-rosa-pure-shower-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4128448577,"Mangueira Flexível Para Ducha - 1,5m Pure Shower Prateado",MLB186340,MLB-BATHROOM_FAUCETS_AND_MIXERS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4128448577-mangueira-flexivel-para-ducha-15m-pure-shower-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5720443756,Cabeça Chuveiro Para Pure Shower Select Prateado,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5720443756-cabeca-chuveiro-para-pure-shower-select-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5504514650,Suporte De Parede Para Ducha Pure Shower,MLB438708,MLB-BATHROOM_SUPPLIES,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5504514650-suporte-de-parede-para-ducha-pure-shower-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4152589777,Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Prateado,MLB269588,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-4152589777-pure-filter-filtro-4-estagios-com-esferas-pure-shower-cor-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5454212114,Refil Filtro Para Chuveiro Eletronic Pure Shower Dourado-escuro,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5454212114-refil-filtro-para-chuveiro-eletronic-pure-shower-dourado-escuro-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5506789606,Ducha Pure Shower Pet Kit Completo Mangueira E Suporte Cor Prateado,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5506789606-ducha-pure-shower-pet-kit-completo-mangueira-e-suporte-cor-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5536092696,Válvula De Desvio Manual Para Ducha 1/2'' Cor Prateado,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5536092696-valvula-de-desvio-manual-para-ducha-12-cor-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4160048965,Kit Pure Filter C/ Esferas Extra Fitro Anticloro Pure Shower Cromado,MLB269588,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4160048965-kit-pure-filter-c-esferas-extra-fitro-anticloro-pure-shower-cromado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4244875537,Ducha Pure Shower Standard Cor Branco,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-4244875537-ducha-pure-shower-standard-cor-branco-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5483922756,Resistência Para Ducha Chuveiro Pure Shower Eletronic,MLB269874,MLB-ELECTRIC_SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5483922756-resistncia-para-ducha-chuveiro-pure-shower-eletronic-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5454185710,Refil De Esferas Minerais Para Ducha Pure Shower Select Dourado-escuro,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5454185710-refil-de-esferas-minerais-para-ducha-pure-shower-select-dourado-escuro-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4213204501,Kit Refil De Esferas Minerais Garrafa Ionizante Pure Health,MLB269588,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-4213204501-kit-refil-de-esferas-minerais-garrafa-ionizante-pure-health-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4146565283,Ducha Chuveiro Parade Kit Premium Pure Shower C/ Ducha Aux Cor Prateado,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-4146565283-ducha-chuveiro-parade-kit-premium-pure-shower-c-ducha-aux-cor-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5509057310,"Mangueira Flexível Para Ducha - 1,5m Pure Shower Cor Prateado",MLB186340,MLB-BATHROOM_FAUCETS_AND_MIXERS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5509057310-mangueira-flexivel-para-ducha-15m-pure-shower-cor-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5452496492,Kit Premium Chuveiro Select Chrome Com Ducha Auxiliar Prateado Cromado,MLB269588,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5452496492-kit-premium-chuveiro-select-chrome-com-ducha-auxiliar-prateado-cromado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4103292495,Ducha Chuveiro De Parade Pure Shower Select Chrome Prateado Escovado,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4103292495-ducha-chuveiro-de-parade-pure-shower-select-chrome-prateado-escovado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5552244478,Ducha Lavatório Salão Pure Shower Standard Original Polido,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5552244478-ducha-lavatorio-salo-pure-shower-standard-original-polido-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5713416532,Chuveiro Elétrico Pure Shower Anti-cloro C/ Filtro Extra Branco 7.5 Kw,MLB269874,MLB-ELECTRIC_SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5713416532-chuveiro-eletrico-pure-shower-anti-cloro-c-filtro-extra-branco-75-kw-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5506605632,Refil Filtro Para Chuveiro Eletronic Pure Shower Cor Dourado-escuro,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5506605632-refil-filtro-para-chuveiro-eletronic-pure-shower-cor-dourado-escuro-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4152376187,Chuveiro De Parede Ducha Com Filtro Pure Shower Select Cromado,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4152376187-chuveiro-de-parede-ducha-com-filtro-pure-shower-select-cromado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5541422742,Chuveiro Elétrico Pure Shower Anti-cloro Com Filtro 220v Cor Branco Potência 5.5 Kw,MLB269874,MLB-ELECTRIC_SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5541422742-chuveiro-eletrico-pure-shower-anti-cloro-com-filtro-220v-cor-branco-potncia-55-kw-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5555832180,Ducha Pet Para Banho E Tosa Pure Shower Pet Shop Standard,MLB269588,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5555832180-ducha-pet-para-banho-e-tosa-pure-shower-pet-shop-standard-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5728233252,Cabeça Chuveiro Para Pure Shower Select Prateado,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5728233252-cabeca-chuveiro-para-pure-shower-select-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5551222432,Chuveiro De Parede Ducha Com Filtro Pure Shower Select Preto,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5551222432-chuveiro-de-parede-ducha-com-filtro-pure-shower-select-preto-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4132118337,Chuveiro De Parede Ducha Pure Shower Select Cromado,MLB269588,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4132118337-chuveiro-de-parede-ducha-pure-shower-select-cromado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5551879968,Pure Shower Chuveiro Elétrico 7500w Cor Branco,MLB269874,MLB-ELECTRIC_SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5551879968-pure-shower-chuveiro-eletrico-7500w-cor-branco-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4160108067,Kit Pure Filter C/ Esferas Extra Fitro Anticloro Pure Shower Transparente,MLB269588,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4160108067-kit-pure-filter-c-esferas-extra-fitro-anticloro-pure-shower-transparente-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5490625674,Chuveiro Elétrico Pure Shower Anti-cloro Com Filtro Cor Branco Potência 7.5 Kw,MLB269874,MLB-ELECTRIC_SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5490625674-chuveiro-eletrico-pure-shower-anti-cloro-com-filtro-cor-branco-potncia-75-kw-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4092560343,Ducha Salão Pure Shower Pro Com Mangueira E Acabamento Prateado,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4092560343-ducha-salo-pure-shower-pro-com-mangueira-e-acabamento-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5579539486,Refil De Esferas Minerais Para Ducha New Pure Shower Dourado-escuro,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5579539486-refil-de-esferas-minerais-para-ducha-new-pure-shower-dourado-escuro-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5504830724,Presilha Grampos Clips De Cabelo Pure Color Grips Cor Preto,MLB278129,MLB-HAIRDRESSING_CLIPS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5504830724-presilha-grampos-clips-de-cabelo-pure-color-grips-cor-preto-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5452702020,Chuveiro De Parede Ducha Pure Shower Select,MLB269588,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5452702020-chuveiro-de-parede-ducha-pure-shower-select-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4104369667,Refil De Esferas Minerais Para Ducha Pure Shower Cinza,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4104369667-refil-de-esferas-minerais-para-ducha-pure-shower-cinza-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4103162595,Chuveiro De Parade Ducha Pure Shower Select Black Preto Fosco,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4103162595-chuveiro-de-parade-ducha-pure-shower-select-black-preto-fosco-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5551450886,Chuveiro De Parede Ducha Com Filtro Pure Shower Select Transparente,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5551450886-chuveiro-de-parede-ducha-com-filtro-pure-shower-select-transparente-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5504379546,Ducha Salão Pure Shower Pro Com Mangueira E Acabamento Cor Prateado,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5504379546-ducha-salo-pure-shower-pro-com-mangueira-e-acabamento-cor-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4208292445,Duchas Pure Shower Esferas Minerais Refil De Esferas Minerais Cor Dourado-escuro,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-4208292445-duchas-pure-shower-esferas-minerais-refil-de-esferas-minerais-cor-dourado-escuro-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5528362076,Chuveiro Elétrico Pure Shower 5500w Cor Branco,MLB269874,MLB-ELECTRIC_SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5528362076-chuveiro-eletrico-pure-shower-5500w-cor-branco-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4092643011,Pure Filter Filtro 4 Estágios Com Esferas Pure Shower,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4092643011-pure-filter-filtro-4-estagios-com-esferas-pure-shower-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4103214871,Ducha Pure Shower Standard Acabamento Polido Cor Cromado,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-4103214871-ducha-pure-shower-standard-acabamento-polido-cor-cromado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5454470876,Ducha Pet Shop Pure Shower Pet Acabamento Polido Cor Prateado,MLB269858,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5454470876-ducha-pet-shop-pure-shower-pet-acabamento-polido-cor-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5469287374,Chuveiro Da Beleza De Parede Ducha Pure Shower Cor Prateado,MLB269588,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5469287374-chuveiro-da-beleza-de-parede-ducha-pure-shower-cor-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4197871289,Kit Refil De Esferas Minerais Garrafa Ionizante Pure Health Varias,MLB269588,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4197871289-kit-refil-de-esferas-minerais-garrafa-ionizante-pure-health-varias-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5514445684,Chuveiro Elétrico Pure Shower Anti-cloro Com Filtro Branco 7.5 Kw,MLB269874,MLB-ELECTRIC_SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5514445684-chuveiro-eletrico-pure-shower-anti-cloro-com-filtro-branco-75-kw-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5492148162,Garrafa Água Ionizante Pure Health Hidrogênio Molecular Cor Transparente,MLB123032,MLB-SPORT_AND_BAZAAR_BOTTLES,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-5492148162-garrafa-agua-ionizante-pure-health-hidrognio-molecular-cor-transparente-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4103151607,Chuveiro Da Beleza De Parede Ducha Pure Shower Prateado,MLB269588,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-4103151607-chuveiro-da-beleza-de-parede-ducha-pure-shower-prateado-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5428350132,Ducha New Pure Shower,MLB269858,MLB-SHOWER_HEADS,185624,False,2476374579,https://produto.mercadolivre.com.br/MLB-5428350132-ducha-new-pure-shower-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB4152354993,Pure Filter Filtro 4 Estágios Com Esferas Pure Shower,MLB269588,MLB-SHOWER_HEADS,185624,True,2476374579,https://produto.mercadolivre.com.br/MLB-4152354993-pure-filter-filtro-4-estagios-com-esferas-pure-shower-_JM,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB5664469892,Refil De Esferas Minerais Para Ducha Pure Shower,,MLB-SHOWER_HEADS,185624,True,,https://produto.mercadolivre.com.br/MLB-5664469892-refil-de-esferas-minerais-para-ducha-pure-shower-_JM,353235970,969895673,80.85,0.0,active,False,fulfillment,gold_pro,2025-09-03T23:35:37Z,True,marketplace,731958,13510552,Pure Shower,new,green,False,http://http2.mlstatic.com/D_979942-MLU74390718573_022024-I.jpg,False,unknown,1094755526497315,Refil De Esferas Minerais Para Ducha Pure Shower,MLBU3252717801,Refil De Esferas Minerais Para Ducha Pure Shower Cinza,,
MLB5551881482,Ducha New Pure Shower Lavatório Profissional De Salão Cromado,,MLB-SHOWER_HEADS,185624,False,,https://produto.mercadolivre.com.br/MLB-5551881482-ducha-new-pure-shower-lavatorio-profissional-de-salo-cromado-_JM,353235970,1122817356,297.0,0.0,active,False,xd_drop_off,gold_pro,2025-08-07T17:27:57Z,False,marketplace,731958,13510552,Pure Shower,new,green,False,http://http2.mlstatic.com/D_867542-MLB89298649598_082025-I.jpg,True,good_quality_thumbnail,1786636339424286,Ducha New Pure Shower Lavatório Profissional De Salão,MLBU3351057572,Ducha New Pure Shower Lavatório Profissional De Salão Cromado,,
MLB5664469892,Refil De Esferas Minerais Para Ducha Pure Shower,,MLB-SHOWER_HEADS,185624,True,,https://produto.mercadolivre.com.br/MLB-5664469892-refil-de-esferas-minerais-para-ducha-pure-shower-_JM,353235970,969895673,80.85,0.0,active,False,fulfillment,gold_pro,2025-09-03T23:35:37Z,True,marketplace,731958,13510552,Pure Shower,new,green,False,http://http2.mlstatic.com/D_979942-MLU74390718573_022024-I.jpg,False,unknown,1094755526497315,Refil De Esferas Minerais Para Ducha Pure Shower,MLBU3252717801,Refil De Esferas Minerais Para Ducha Pure Shower Cinza,"{""item_id"": ""MLB5664469892"", ""campaign_id"": 353235970, ""ad_group_id"": 969895673, ""price"": 80.85, ""price_usd"": 0.0, ""title"": ""Refil De Esferas Minerais Para Ducha Pure Shower"", ""status"": ""active"", ""has_discount"": false, ""catalog_listing"": true, ""logistic_type"": ""fulfillment"", ""listing_type_id"": ""gold_pro"", ""domain_id"": ""MLB-SHOWER_HEADS"", ""date_created"": ""2025-09-03T23:35:37Z"", ""buy_box_winner"": true, ""channel"": ""marketplace"", ""official_store_id"": 185624, ""advertiser_id"": 731958, ""brand_value_id"": ""13510552"", ""brand_value_name"": ""Pure Shower"", ""condition"": ""new"", ""current_level"": ""green"", ""deferred_stock"": false, ""thumbnail"": ""http://http2.mlstatic.com/D_979942-MLU74390718573_022024-I.jpg"", ""permalink"": ""https://produto.mercadolivre.com.br/MLB-5664469892-refil-de-esferas-minerais-para-ducha-pure-shower-_JM"", ""recommended"": false, ""image_quality"": ""unknown"", ""metrics"": {}, ""family_id"": 1094755526497315, ""family_name"": ""Refil De Esferas Minerais Para Ducha Pure Shower"", ""user_product_id"": ""MLBU3252717801"", ""user_product_name"": ""Refil De Esferas Minerais Para Ducha Pure Shower Cinza""}",
MLB5551881482,Ducha New Pure Shower Lavatório Profissional De Salão Cromado,,MLB-SHOWER_HEADS,185624,False,,https://produto.mercadolivre.com.br/MLB-5551881482-ducha-new-pure-shower-lavatorio-profissional-de-salo-cromado-_JM,353235970,1122817356,297.0,0.0,active,False,xd_drop_off,gold_pro,2025-08-07T17:27:57Z,False,marketplace,731958,13510552,Pure Shower,new,green,False,http://http2.mlstatic.com/D_867542-MLB89298649598_082025-I.jpg,True,good_quality_thumbnail,1786636339424286,Ducha New Pure Shower Lavatório Profissional De Salão,MLBU3351057572,Ducha New Pure Shower Lavatório Profissional De Salão Cromado,"{""item_id"": ""MLB5551881482"", ""campaign_id"": 353235970, ""ad_group_id"": 1122817356, ""price"": 297.0, ""price_usd"": 0.0, ""title"": ""Ducha New Pure Shower Lavatório Profissional De Salão Cromado"", ""status"": ""active"", ""has_discount"": false, ""catalog_listing"": false, ""logistic_type"": ""xd_drop_off"", ""listing_type_id"": ""gold_pro"", ""domain_id"": ""MLB-SHOWER_HEADS"", ""date_created"": ""2025-08-07T17:27:57Z"", ""buy_box_winner"": false, ""tags"": [""sll""], ""channel"": ""marketplace"", ""official_store_id"": 185624, ""advertiser_id"": 731958, ""brand_value_id"": ""13510552"", ""brand_value_name"": ""Pure Shower"", ""condition"": ""new"", ""current_level"": ""green"", ""deferred_stock"": false, ""thumbnail"": ""http://http2.mlstatic.com/D_867542-MLB89298649598_082025-I.jpg"", ""permalink"": ""https://produto.mercadolivre.com.br/MLB-5551881482-ducha-new-pure-shower-lavatorio-profissional-de-salo-cromado-_JM"", ""recommended"": true, ""image_quality"": ""good_quality_thumbnail"", ""metrics"": {}, ""family_id"": 1786636339424286, ""family_name"": ""Ducha New Pure Shower Lavatório Profissional De Salão"", ""user_product_id"": ""MLBU3351057572"", ""user_product_name"": ""Ducha New Pure Shower Lavatório Profissional De Salão Cromado""}",sll
